Town,Region
Avon,3
Township 6 North of Weld,3
Phillips,3
Feeman Township,3
Township D,3
Township E,3
Rangeley Plantation,3
Sandy River Plantation,3
Madrid Township,3
Salem Township,3
Mount Abram Township,3
Kingfield,3
Rangeley,3
Dallas Plantation,3
Redington Township,3
Davis Township,3
Lang Township,3
Coplin Plantation,3
Carrabassett Valley,3
Wyman Township,3
Stetsontown Township,3
Tim Pond Township,3
Jim Pond Township,3
Massachussets Gore,3
Chain of Ponds Township,3
Kibby Township,3
Coburn Gore,3
Merrill Strip Township,3
Skinner Township,3
Beattie Township,3
Lowelltown Township,3
Gorham Gore,3
Smithfield,3
Mercer,3
Starks,3
Norridgewock,3
Skowhegan,3
Canaan,3
Anson,3
Madison,3
Cornville,3
Hartland,3
Saint Albans,3
New Portland,3
Embden,3
Solon,3
Athens,3
Harmony,3
Ripley,3
Cambridge,3
Lexington,3
Concord Township,3
Bingham,3
Brighton Plantation,3
Wellington,3
Highland Plantation,3
Pleasant Ridge Plantation,3
Moscow,3
Mayfield Township,3
Bigelow Township,3
Dead River Township,3
Carrying Place Town Township,3
Carrying Place Township,3
Caratunk,3
Bald Mountain Township T2 R3,3
Blanchard Township,3
Monson,3
Flagstaff Township,3
T3 R4 BKP WKR,3
Pierce Pond Township,3
Bowton Township,3
The Forks Plantation,3
East Moxie Township,3
Shirley,3
King & Bartlett Township,3
T3 R5 BKP WKR,3
Lower Enchanted Township,3
West Forks Plantation,3
Moxie Gore,3
Squaretown Township,3
Moosehead Junction,3
Greenville,3
T5 R6 BKP WKR,3
Hobbstown Township,3
Upper Enchanted Township,3
Johnson Mountain Township,3
Chase Stream Township,3
Indian Stream Township,3
Big Moose Township,3
Appleton Township,3
T5 R7 BKP WKR,3
Bradstreet Township,3
Parlin Pond Township,3
Misery Township,3
Sapling Township,3
Misery Gore Township,3
Holeb Township,3
Attean Township,3
Jackman,3
Long Pond Township,3
Sandwich Academy Grant Township,3
Taunton & Raynham Academy Grant Township,3
Rockwood Strip T2 R1 NBKP,3
Rockwood Strip T1 R1 NBKP,3
Forsyth Township,3
Dennistown Plantation,3
Moose River,3
Thorndike Township,3
Brassua Township,3
Tomhegan Township,3
Sandy Bay Township,3
Bald Mountain Township T4 R3,3
Alder Brook Township,3
Soldiertown Township,3
West Middlesex Canal Grant,3
Big W Township,3
Blake Gore,3
Prentiss Township,3
Hammond Township,3
Pittston Academy Grant,3
Plymouth Township,3
Seboomook Township,3
Hartfords Point Township,3
Cove Point Township,3
Bowdoin College Grant West Township,3
Beaver Cove,3
Sandbar Tract Township,3
Lily Bay Township,3
Frenchtown Township,3
Days Academy Grant Township,3
Spencer Bay Township,3
T1 R13 WELS,3
East Middlesex Canal Grant Township,3
Northeast Carry Township,3
Kineo Township,3
Little W Township,3
T3 R1 NBPP,5
Lakeville,5
Pukakon Township,5
T6 R1 NBPP,5
Talmadge,5
Waite,5
Fowler Township,5
Lee,5
Springfield,5
Carroll Plantation,5
Kossuth Township,5
Topsfield,5
Codyville Plantation,5
Dyer Township,5
Lambert Lake Township,5
Vanceboro,5
Chester,5
Winn,5
Webster Plantation,5
Prentiss Township,5
T8 R3 NBPP,5
Brookton Township,5
Forest Township,5
T11 R3 NBPP,5
Woodville,5
Mattawamkeag,5
Kingman Township,5
Drew Plantation,5
T8 R4 NBPP,5
Danforth,5
Forest City Township,5
T4 R5 NBKP,5
Dole Brook Township,5
Comstock Township,5
T4 R17 WELS,5
Elm Stream Township,5
T5 R20 WELS,5
T5 R19 WELS,5
T5 R18 WELS,5
